Дата,Средняя температура
30.04.2024,12.78
29.04.2024,14.28
28.04.2024,10.8
27.04.2024,8.44
26.04.2024,8.31
25.04.2024,5.1
24.04.2024,3.76
23.04.2024,5.56
22.04.2024,4.94
21.04.2024,3.96
20.04.2024,-0.97
19.04.2024,-1.64
18.04.2024,-0.76
17.04.2024,2.27
16.04.2024,6.16
15.04.2024,5.66
14.04.2024,9.12
13.04.2024,7.31
12.04.2024,6.85
11.04.2024,8.6
10.04.2024,10.65
09.04.2024,10.82
08.04.2024,10.65
07.04.2024,4.04
06.04.2024,1.91
05.04.2024,-1.82
04.04.2024,-2.98
03.04.2024,-0.51
02.04.2024,5.14
01.04.2024,12.49
31.03.2024,7.99
30.03.2024,5.54
29.03.2024,9.18
28.03.2024,8.18
27.03.2024,3.3
26.03.2024,2.85
25.03.2024,1.49
24.03.2024,3.27
23.03.2024,2.88
22.03.2024,4.21
21.03.2024,3.57
20.03.2024,2.61
19.03.2024,2.1
18.03.2024,-1.71
17.03.2024,3.35
16.03.2024,7.09
15.03.2024,5.51
14.03.2024,3.71
13.03.2024,3.04
12.03.2024,0.26
11.03.2024,-0.04
10.03.2024,-1.99
09.03.2024,-2.3
08.03.2024,0.21
07.03.2024,-2.38
06.03.2024,-2.24
05.03.2024,0.06
04.03.2024,1.8
03.03.2024,4.46
02.03.2024,2.98
01.03.2024,0.69
29.02.2024,1.39
28.02.2024,1.36
27.02.2024,2.04
26.02.2024,2.99
25.02.2024,3.84
24.02.2024,3.5
23.02.2024,3.02
22.02.2024,0.18
21.02.2024,-2.27
20.02.2024,-1.73
19.02.2024,-4.56
18.02.2024,-1.79
17.02.2024,1.36
16.02.2024,-2.26
15.02.2024,-6.3
14.02.2024,-10.15
13.02.2024,-12.16
12.02.2024,-9.06
11.02.2024,-12.3
10.02.2024,-11.5
09.02.2024,-16.07
08.02.2024,-14.28
07.02.2024,-12.1
06.02.2024,-7.24
05.02.2024,-1.57
04.02.2024,-0.44
03.02.2024,-1.57
02.02.2024,-1.39
01.02.2024,2.06
31.01.2024,0.04
30.01.2024,0.27
29.01.2024,2.65
28.01.2024,-0.7
27.01.2024,-2.65
26.01.2024,-2.41
25.01.2024,0.74
24.01.2024,2.3
23.01.2024,1.94
22.01.2024,-2.81
21.01.2024,-13.24
20.01.2024,-16.86
19.01.2024,-5.27
18.01.2024,-9.51
17.01.2024,-13.93
16.01.2024,-10.65
15.01.2024,-9.76
14.01.2024,-13.31
13.01.2024,-14.11
12.01.2024,-13.07
11.01.2024,-4.34
10.01.2024,-1.56
09.01.2024,-1.79
08.01.2024,-9.25
07.01.2024,-18.69
06.01.2024,-16.6
05.01.2024,-21.77
04.01.2024,-23.55
03.01.2024,-22.16
02.01.2024,-18.81
01.01.2024,-15.67
31.12.2023,-8.88
30.12.2023,-3.9
29.12.2023,-2.42
28.12.2023,-4.11
27.12.2023,-3.15
26.12.2023,-2.8
25.12.2023,-1.52
24.12.2023,0.12
23.12.2023,0.8
22.12.2023,0.64
21.12.2023,0.38
20.12.2023,1.65
19.12.2023,1.76
18.12.2023,1.32
17.12.2023,1.15
16.12.2023,-3.27
15.12.2023,-5.26
14.12.2023,-3.39
13.12.2023,-2.05
12.12.2023,-4.58
11.12.2023,-8.81
10.12.2023,-10.88
09.12.2023,-11.79
08.12.2023,-14.2
07.12.2023,-12.62
06.12.2023,-10.47
05.12.2023,-6.88
04.12.2023,-6.36
03.12.2023,-6.15
02.12.2023,-5.85
01.12.2023,-4.39
30.11.2023,-3.99
29.11.2023,-4.22
28.11.2023,-1.73
27.11.2023,-4.38
26.11.2023,-9.82
25.11.2023,-7.92
24.11.2023,-3.61
23.11.2023,-3.84
22.11.2023,-5.8
21.11.2023,-4.36
20.11.2023,-4.55
19.11.2023,-3.8
18.11.2023,-4.34
17.11.2023,-3.42
16.11.2023,-2.21
15.11.2023,0.55
14.11.2023,0.14
13.11.2023,2.19
12.11.2023,6.12
11.11.2023,6.69
10.11.2023,6.96
09.11.2023,6.35
08.11.2023,6.97
07.11.2023,5.75
06.11.2023,6.6
05.11.2023,6.41
04.11.2023,4.55
03.11.2023,1.3
02.11.2023,3.31
01.11.2023,6.79
31.10.2023,-0.24
30.10.2023,0.84
29.10.2023,0.06
28.10.2023,-0.34
27.10.2023,-1.27
26.10.2023,-1.25
25.10.2023,0.72
24.10.2023,2.11
23.10.2023,3.29
22.10.2023,1.3
21.10.2023,1.7
20.10.2023,2.52
19.10.2023,2.54
18.10.2023,3.34
17.10.2023,4.83
16.10.2023,5.97
15.10.2023,8.82
14.10.2023,10.61
13.10.2023,9.24
12.10.2023,9.88
11.10.2023,7.25
10.10.2023,2.82
09.10.2023,3.15
08.10.2023,2.38
07.10.2023,6.12
06.10.2023,6.84
05.10.2023,10.7
04.10.2023,12.04
03.10.2023,12.22
02.10.2023,12.4
01.10.2023,13.65
30.09.2023,16.99
29.09.2023,16.86
28.09.2023,16.46
27.09.2023,15.26
26.09.2023,14.35
25.09.2023,14.28
24.09.2023,16.06
23.09.2023,20.27
22.09.2023,18.69
21.09.2023,18.12
20.09.2023,16.36
19.09.2023,14.81
18.09.2023,11.68
17.09.2023,14.14
16.09.2023,13.84
15.09.2023,12.29
14.09.2023,16.18
13.09.2023,20.5
12.09.2023,19.82
11.09.2023,19.15
10.09.2023,17.27
09.09.2023,15.51
08.09.2023,16.5
07.09.2023,13.32
06.09.2023,14.78
05.09.2023,17.26
04.09.2023,16.56
03.09.2023,16.7
02.09.2023,18.57
01.09.2023,19.88
31.08.2023,21.91
30.08.2023,17.52
29.08.2023,17.23
28.08.2023,17.64
27.08.2023,17.3
26.08.2023,17.44
25.08.2023,18.36
24.08.2023,15.7
23.08.2023,16.5
22.08.2023,17.99
21.08.2023,17.88
20.08.2023,17.81
19.08.2023,16.7
18.08.2023,18.07
17.08.2023,21.56
16.08.2023,21.79
15.08.2023,20.7
14.08.2023,20.27
13.08.2023,20.27
12.08.2023,20.82
11.08.2023,21.29
10.08.2023,21.23
09.08.2023,20.6
08.08.2023,23.12
07.08.2023,28.02
06.08.2023,23.02
05.08.2023,20.79
04.08.2023,21.0
03.08.2023,21.2
02.08.2023,22.9
01.08.2023,21.04
31.07.2023,19.88
30.07.2023,19.48
29.07.2023,18.16
28.07.2023,15.5
27.07.2023,19.24
26.07.2023,18.35
25.07.2023,19.46
24.07.2023,17.29
23.07.2023,17.8
22.07.2023,18.36
21.07.2023,17.86
20.07.2023,18.18
19.07.2023,18.07
18.07.2023,18.52
17.07.2023,21.05
16.07.2023,21.81
15.07.2023,19.56
14.07.2023,18.81
13.07.2023,18.68
12.07.2023,17.68
11.07.2023,15.54
10.07.2023,14.15
09.07.2023,15.25
08.07.2023,17.99
07.07.2023,18.55
06.07.2023,20.23
05.07.2023,17.32
04.07.2023,16.09
03.07.2023,17.61
02.07.2023,17.85
01.07.2023,20.11
30.06.2023,20.64
29.06.2023,22.93
28.06.2023,21.93
27.06.2023,21.34
26.06.2023,19.89
25.06.2023,18.61
24.06.2023,20.2
23.06.2023,20.0
22.06.2023,22.79
21.06.2023,21.25
20.06.2023,20.94
19.06.2023,19.21
18.06.2023,18.41
17.06.2023,21.91
16.06.2023,21.59
15.06.2023,20.14
14.06.2023,19.36
13.06.2023,18.55
12.06.2023,16.32
11.06.2023,13.85
10.06.2023,12.0
09.06.2023,11.38
08.06.2023,14.39
07.06.2023,13.57
06.06.2023,14.39
05.06.2023,13.39
04.06.2023,11.51
03.06.2023,8.69
02.06.2023,7.6
01.06.2023,11.91
31.05.2023,12.75
30.05.2023,12.25
29.05.2023,13.92
28.05.2023,13.34
27.05.2023,10.76
26.05.2023,14.06
25.05.2023,17.79
24.05.2023,18.7
23.05.2023,16.74
22.05.2023,15.0
21.05.2023,15.68
20.05.2023,12.79
19.05.2023,10.89
18.05.2023,11.21
17.05.2023,16.96
16.05.2023,17.1
15.05.2023,17.06
14.05.2023,15.72
13.05.2023,13.88
12.05.2023,13.19
11.05.2023,11.66
10.05.2023,10.66
09.05.2023,9.96
08.05.2023,8.64
07.05.2023,6.88
06.05.2023,4.03
05.05.2023,2.05
04.05.2023,4.86
03.05.2023,6.69
02.05.2023,10.9
01.05.2023,6.58
30.04.2023,7.26
29.04.2023,5.94
28.04.2023,6.24
27.04.2023,8.54
26.04.2023,17.25
25.04.2023,15.65
24.04.2023,13.57
23.04.2023,11.01
22.04.2023,10.14
21.04.2023,7.64
20.04.2023,6.83
19.04.2023,8.03
18.04.2023,6.42
17.04.2023,7.47
16.04.2023,7.64
15.04.2023,4.76
14.04.2023,4.34
13.04.2023,5.19
12.04.2023,10.31
11.04.2023,8.0
10.04.2023,7.88
09.04.2023,6.8
08.04.2023,6.1
07.04.2023,5.24
06.04.2023,4.15
05.04.2023,2.49
04.04.2023,-0.14
03.04.2023,-1.1
02.04.2023,-0.36
01.04.2023,-0.15
31.03.2023,0.21
30.03.2023,-2.95
29.03.2023,-1.26
28.03.2023,0.2
27.03.2023,-0.55
26.03.2023,2.12
25.03.2023,4.69
24.03.2023,4.54
23.03.2023,6.61
22.03.2023,0.66
21.03.2023,2.16
20.03.2023,6.41
19.03.2023,4.8
18.03.2023,3.61
17.03.2023,0.21
16.03.2023,0.46
15.03.2023,3.57
14.03.2023,3.58
13.03.2023,-3.0
12.03.2023,-4.05
11.03.2023,-6.79
10.03.2023,-8.94
09.03.2023,-5.42
08.03.2023,-3.35
07.03.2023,-7.25
06.03.2023,-4.69
05.03.2023,-0.84
04.03.2023,-0.39
03.03.2023,-0.4
02.03.2023,-1.95
01.03.2023,-2.36
28.02.2023,0.59
27.02.2023,-6.11
26.02.2023,-3.81
25.02.2023,-2.59
24.02.2023,-3.99
23.02.2023,-10.49
22.02.2023,-11.09
21.02.2023,-9.21
20.02.2023,-7.15
19.02.2023,-4.11
18.02.2023,-2.36
17.02.2023,-3.21
16.02.2023,0.79
15.02.2023,1.12
14.02.2023,1.02
13.02.2023,1.09
12.02.2023,-4.85
11.02.2023,-1.96
10.02.2023,-0.65
09.02.2023,1.0
08.02.2023,-0.19
07.02.2023,-2.54
06.02.2023,-2.0
05.02.2023,-5.72
04.02.2023,-3.17
03.02.2023,-3.08
02.02.2023,-0.28
01.02.2023,-0.27
31.01.2023,0.3
30.01.2023,1.36
29.01.2023,-0.78
28.01.2023,-4.29
27.01.2023,-1.41
26.01.2023,2.08
25.01.2023,0.94
24.01.2023,-2.74
23.01.2023,-4.51
22.01.2023,-3.44
21.01.2023,-2.76
20.01.2023,0.81
19.01.2023,2.29
18.01.2023,1.92
17.01.2023,1.61
16.01.2023,2.26
15.01.2023,2.9
14.01.2023,1.95
13.01.2023,0.29
12.01.2023,-3.58
11.01.2023,-1.61
10.01.2023,-7.25
09.01.2023,-10.55
08.01.2023,-14.69
07.01.2023,-8.46
06.01.2023,-8.74
05.01.2023,-10.2
04.01.2023,-3.84
03.01.2023,-2.05
02.01.2023,-0.62
01.01.2023,2.32
31.12.2022,3.1
30.12.2022,-0.1
29.12.2022,-1.15
28.12.2022,-0.26
27.12.2022,-4.9
26.12.2022,-4.54
25.12.2022,-2.23
24.12.2022,-0.05
23.12.2022,1.81
22.12.2022,2.86
21.12.2022,-2.61
20.12.2022,-4.65
19.12.2022,-0.18
18.12.2022,-6.17
17.12.2022,-5.79
16.12.2022,-6.78
15.12.2022,-5.3
14.12.2022,-4.64
13.12.2022,-4.3
12.12.2022,-6.06
11.12.2022,-4.49
10.12.2022,-3.64
09.12.2022,-0.91
08.12.2022,-3.7
07.12.2022,-4.83
06.12.2022,-5.81
05.12.2022,-3.24
04.12.2022,-4.34
03.12.2022,-5.15
02.12.2022,-7.5
01.12.2022,-3.7
30.11.2022,-2.65
29.11.2022,-2.01
28.11.2022,-3.51
27.11.2022,-8.0
26.11.2022,-9.31
25.11.2022,-5.96
24.11.2022,-5.28
23.11.2022,-2.3
22.11.2022,-4.71
21.11.2022,-5.26
20.11.2022,-4.38
19.11.2022,-4.25
18.11.2022,-1.52
17.11.2022,0.51
16.11.2022,-0.53
15.11.2022,1.39
14.11.2022,1.66
13.11.2022,7.26
12.11.2022,10.05
11.11.2022,9.5
10.11.2022,9.86
09.11.2022,7.74
08.11.2022,6.61
07.11.2022,6.12
06.11.2022,0.94
05.11.2022,-1.94
04.11.2022,-0.07
03.11.2022,3.85
02.11.2022,5.84
01.11.2022,5.36
31.10.2022,2.27
30.10.2022,5.49
29.10.2022,11.07
28.10.2022,9.86
27.10.2022,8.9
26.10.2022,5.99
25.10.2022,2.54
24.10.2022,3.56
23.10.2022,6.05
22.10.2022,7.08
21.10.2022,6.1
20.10.2022,4.65
19.10.2022,5.3
18.10.2022,8.8
17.10.2022,10.85
16.10.2022,10.28
15.10.2022,10.56
14.10.2022,9.28
13.10.2022,7.6
12.10.2022,8.91
11.10.2022,9.18
10.10.2022,9.09
09.10.2022,10.51
08.10.2022,12.41
07.10.2022,12.36
06.10.2022,11.7
05.10.2022,8.21
04.10.2022,8.71
03.10.2022,6.97
02.10.2022,7.15
01.10.2022,9.29
30.09.2022,9.53
29.09.2022,7.61
28.09.2022,8.22
27.09.2022,10.81
